id_cliente,nome_cliente,email,endereco_cliente,estado
1,Maria Julia Moura,daniel89@ig.com.br,"Praa de Rezende, Santo Antnio, 71185-872 Arago Verde / RN",DF
2,Sr. Pedro Lucas Pereira,fmendes@nogueira.br,"rea Brenda Monteiro, 43, Vila Betnia, 21583733 Arajo / AP",SP
3,Vitor Hugo Nunes,da-costaana-beatriz@martins.br,"Parque de Mendes, 5, Vila Rica, 38822-004 Correia Paulista / RJ",DF
4,Andr Castro,leonardoalmeida@nascimento.br,"Colnia da Costa, 716, Itaipu, 16641-209 Castro / AP",SC
5,Rafaela Mendes,kamillyazevedo@silva.br,"Alameda de Castro, 130, Nossa Senhora Aparecida, 58603-370 Correia / CE",PE
6,Leandro Barros,lavinia95@caldeira.net,"Quadra da Rosa, 760, Vila Paris, 14258809 Costa Grande / RO",DF
7,Lvia Correia,igor07@cardoso.net,"Praia Alves, 28, Xangri-L, 36342155 Gomes da Praia / TO",CE
8,Luiz Gustavo da Mota,hda-cruz@campos.br,"Ladeira Emanuelly Peixoto, Hava, 81648-124 Cavalcanti Verde / DF",PR
9,Lucca Cunha,alicia39@ig.com.br,"Trecho de Freitas, 5, Vila Piratininga Venda Nova, 34687214 Martins dos Dourados / RR",RJ
10,Leonardo Dias,ribeirofrancisco@bol.com.br,"Viaduto Igor Campos, 18, Olhos D'gua, 94374215 Gomes de Ramos / MS",PR
11,Gabrielly Santos,gomesana-julia@moreira.com,"Passarela Leonardo da Paz, 50, Vila Nossa Senhora Do Rosrio, 39630867 Carvalho / BA",CE
12,Daniela Teixeira,luccasilva@moraes.br,"Stio de da Cruz, 96, Vila Da Paz, 08000831 Santos / BA",RS
13,Eduardo Campos,stellapeixoto@yahoo.com.br,"Praia de Porto, 2, Dom Silverio, 46932-992 Martins da Mata / AM",MG
14,Eduarda Ramos,emoura@hotmail.com,"Passarela Viana, 11, Jardim Felicidade, 88369-802 Viana da Mata / RR",CE
15,Matheus Ferreira,da-pazcaua@alves.org,"Conjunto Brbara Pinto, 9, Vila Mangueiras, 89617-110 Nogueira / RJ",RJ
16,Cau da Luz,martinsana-livia@lopes.com,"Viela da Rosa, 66, Nazare, 57827751 Martins da Prata / RN",CE
17,Daniela Teixeira,vinicius19@moura.com,"Recanto da Conceio, 54, Unidas, 93333142 Alves de Rocha / MG",MG
18,Bryan da Mata,yviana@bol.com.br,"Viaduto Agatha Novaes, Mala E Cuia, 60647-145 Moraes de Arajo / MA",BA
19,Eduarda Barbosa,renannascimento@correia.com,"Lagoa de Farias, 73, Santa Branca, 28228-062 da Mota da Prata / RO",CE
20,Pedro Porto,cecilia66@fogaca.br,"Aeroporto de Nascimento, Unidas, 70956773 Caldeira / BA",CE
21,Ana Julia Martins,brenodas-neves@ig.com.br,"Recanto Helena Viana, 7, Vila So Gabriel Jacui, 10874-247 Sales / AM",BA
22,Luiz Felipe Peixoto,davi-lucas35@araujo.com,"Condomnio de das Neves, 77, Grota, 34115-057 Cavalcanti / RR",RJ
23,Srta. Isis Mendes,ida-rocha@gmail.com,"Ncleo Ana Julia Lopes, 62, Cdi Jatoba, 91159480 da Conceio / CE",PR
24,Sofia Cardoso,nascimentostella@da.com,"Vale Azevedo, 873, Vila Pinho, 63198797 Pinto / PE",RS
25,Emanuelly Mendes,ssales@caldeira.com,"Esplanada Lima, 1, So Pedro, 58741779 Azevedo / ES",RS
26,Letcia Nogueira,sferreira@uol.com.br,"Stio de Souza, Esperana, 59108142 Azevedo / RR",PR
27,Joo Miguel Barros,enzo44@ig.com.br,"Vereda Silveira, Juliana, 11063847 Teixeira / SC",PR
28,Elisa Correia,cda-cunha@freitas.com,"Ladeira Pires, 4, Nossa Senhora De Ftima, 59998-383 Pereira do Norte / SE",PR
29,Agatha Oliveira,da-conceicaojoao-miguel@bol.com.br,"Loteamento Gomes, 20, So Salvador, 02127-359 da Rosa do Norte / AM",SC
30,Bryan Duarte,piresthales@da.br,"Chcara Stella Lopes, 87, So Gonalo, 72422-542 Duarte / MA",RS
31,Luana Carvalho,bbarros@castro.com,"Chcara Peixoto, 8, Branas, 06011911 Almeida / BA",DF
32,Melissa da Rosa,rafaeldas-neves@bol.com.br,"Quadra Maria Clara Costela, 21, Marieta 2 Seo, 03984-534 Dias de da Costa / PI",CE
33,Joo Pedro Gomes,zcorreia@ig.com.br,"Feira Nascimento, 7, Bonfim, 94958500 Moraes do Campo / AC",PE
34,Ana Luiza Santos,rodrigueseloah@gmail.com,"Ptio Lima, 61, Vila So Gabriel Jacui, 49990684 Gonalves / SP",CE
35,Andr Silva,carlos-eduardofernandes@vieira.com,"Campo de Monteiro, Jardim So Jos, 66817-633 Arago / DF",SP
